mpid,d_center,E_CO
mp-865385,13.453492527322183,-2.54695233
mp-79,-2.35511421,0.04078161
mp-607111,7.149843762545916,-1.4805516
mp-1017632,11.259262580701714,0.023693040000020815
mp-976847,18.79078275775819,-1.08520365
mp-571598,2.6732361737773607,-0.31336267
mp-22320,8.720672617272367,-1.9357323
mp-11578,-0.336773274,-1.95155086
mp-568524,6.022327306191792,-0.74967983
mp-1281,9.385834429109982,-1.23749314
mp-16529,7.252910990033721,-1.90723741
mp-971754,17.74887250020783,-1.75767321
mp-570904,6.996659824,-1.39754925
mp-24722,8.310327099663306,-1.37349515
mp-861942,0.7759918386332038,-0.01547436
mp-19814,4.620381993537161,-0.37388293
mp-20311,3.273919883001353,-2.21243366
mp-718,6.028353872,-0.69811331
mp-643260,-1.516083658,-0.0723148
mp-1332,11.295005734221512,-1.65554579
mp-15868,7.7972748301367485,-1.4773439
mp-30151,2.283196596836854,-0.00240702
mp-570001,8.350297979318238,-2.20564054
mp-568595,10.32667747,-0.8377862
mp-862778,13.574299122190329,-0.41092791
mp-10015,11.704561279513452,-0.63664157
mp-124,6.652817640174894,-0.08231935
mp-578,4.903059670893973,0.3219406100000075
mp-1020712,4.644596229934551,-0.06847652
mp-865212,15.148126619722595,-1.67541201
mp-672661,5.300401747879556,-1.67665559
mp-971941,15.77482520932064,-1.39538591
mp-1019052,10.542747686447909,0.00341594
mp-13364,-3.692229556,-0.46396444
mp-16511,8.667315884,-0.95192419
mp-2157,11.21091896133492,-1.32238506
mp-16852,4.991294165252332,-1.30520687
mp-13520,-4.396272169,-1.16152134
mp-538,-1.564245168,-0.36161433
mp-983850,0.9172015073039415,-0.29412323
mp-12087,5.426601884901175,-3.82661419
mp-20002,0.7186028530371136,-0.20206124
mp-774873,4.521597054,-0.01941331
mp-12565,2.6502129088920188,-0.20850313
mp-21235,6.810393299358181,-1.08629758
mp-829,6.675488164052305,-0.11340115
mp-976893,10.582734137435942,-1.55589263
mp-669546,4.368400417400968,-0.95238498
mp-19905,13.694776349476141,-2.03837213
mp-20928,7.551156513,-1.34703256
mp-20474,3.1701462817863804,-0.6436765
mp-22665,1.1087925843188582,-0.04627508
mp-21855,1.5093307077454576,0.7777038700000052
mp-2500,4.986828545,-0.23053458
mp-510436,5.718219988070528,-1.47035342
mp-30,8.940246613096186,-0.45783118
mp-13447,0.19212650740937712,-0.9862095
mp-571651,8.513350409362927,-0.27079445
mp-1018066,18.31922123228208,-2.01611926
mp-21163,7.142855146812044,-0.01127922
mp-1018806,3.1988291168574268,-0.32429393
mp-1239,5.602411329446741,0.09110559
mp-15681,7.594407637,-1.21137734
mp-81,10.626777737374429,-0.49177556
mp-19940,9.565988991739149,-0.85075675
mp-30744,8.723618982733637,-1.30963015
mp-567636,8.034646983922793,-1.36107557
